,GBM1,GBM2,GBM3,GBM5,GBM7,GBM10,GBM11,GBM12,GBM13,O1,GBM15,OA1,GBM17,GBM19,GBM23,GBM26,GBM27,GBM29,A1,OA2,OA3,A2,A3,OA4,O5,O6,O7,O8,GBM31,GBM34,GBM37,GBM38,GBM39,GBM40,GBM43,GBM44,GBM46,GBM48,GBM49,OA5,A6,GBM52,GBM53,GBM54,GBM55,GBM59,A7,A8,OA6,O11,OA7
KIAA0776,3.02237887611655,3.17844050690931,3.33324085999927,3.57624307564114,3.17720885195606,3.0110491466305,3.0180956429077,3.24736286241161,3.05759726544112,3.25684253360499,2.95843486569904,3.57551448245916,3.27501888489175,3.16483952825009,3.12120418769606,3.18737292276256,3.32753731613899,3.26443197927886,3.53610965021364,3.60145590205874,3.59123561856393,3.37112367014694,3.43416379941706,3.50928628065071,3.04854589744408,3.34188125202346,3.28875434135927,3.2290290144615,2.82623682265492,3.06026710881715,3.17784083226332,3.30145799905213,3.14233314185656,3.23373986914018,3.06698376512957,3.46921962207458,3.24846420772511,3.08022302612424,3.27328561289443,3.60566526414266,3.38814260328535,3.17459819683097,3.33396710899568,3.18467099294932,3.20935708493588,3.34373168322916,3.41399809785076,3.210145088514,3.67579382573717,3.48609240526735,3.49583769941034
SLC7A1,3.4031442093197,3.51622828459301,3.48956181136046,3.64052873969709,3.0160977639765,3.09723300796336,3.35719210200872,3.56794658916419,3.38493572739462,3.40474907224249,3.35345670080846,3.76525603987514,3.19953002055874,3.49895008109323,3.19255128546182,3.40549798667263,3.58427026052485,2.94724349257987,3.65570533779537,3.78518115269742,3.72954495502489,3.33505390924712,3.53201749131624,3.78951584515746,3.50131784389124,3.32758287040787,3.35529957668883,3.557086056946,3.16661243780307,3.21849401682126,3.41018669754468,3.29467560702956,3.36951456411293,3.22525783546342,3.22973686140971,3.36319553441086,3.40662958480068,3.41876981132991,3.48525764763728,3.90996258882655,3.41522683514216,3.38486358514171,3.48441743891256,3.11742509486209,3.35598357360153,3.28139043331794,3.28732374305913,3.50599670519301,3.83927612578417,3.38311310783625,3.8134145104688
ANXA1,3.99265520947556,3.57955530344548,4.22084440368024,3.44897763055429,4.62508923622596,3.96847762491153,3.8131265762914,3.57882423271029,3.53266445416881,3.34205100263402,3.0477003843005,3.66098029483772,4.27888341274283,3.13684291318439,4.23264650233969,4.49676307664761,4.43846897925516,4.37865785468256,2.95376548872878,3.21993983174502,3.00894619212975,3.16550162058169,2.90008734197997,3.50021108075859,2.99286311287958,3.40536138858828,3.27065135712586,2.89989980589126,3.85449296078956,3.06403509506091,4.25033789337158,3.54104553262751,4.286068148305,4.05272167587744,4.1889928782525,3.99174010012735,4.46101460568931,4.44379044046643,3.07336233953702,3.6425332698492,3.09102858566422,4.00904790287557,4.60157206978631,3.98963524317912,4.06213456212204,4.42131132111656,3.00703602720736,3.51763590965257,3.06830759561509,3.16723164915323,4.45753067230184
BC003660,3.61742341474941,3.02144111684934,3.72601798876526,3.37366033183851,3.74241276676307,3.25498674184943,3.3989878253784,3.30295140078259,3.40324649979945,3.13283164624786,3.34743150149457,2.99471474388325,3.61153999493006,2.89339220496355,3.67065832969046,3.69818669971001,3.66119941497006,3.97818079094015,2.45701092176502,2.8698861893789,2.41086324046641,2.47182984399089,2.5956560216101,2.05165794003581,2.73340272368465,3.38067424226921,3.60100489515387,2.85535073547549,3.68371382588411,2.876217263072,2.7393634531585,3.30932477660338,3.61439221331708,2.69332235675295,3.79853138796454,3.25227909204108,3.75441745031888,3.44003725832,3.54100717106089,3.61417570927653,2.9702887494172,2.87987999928172,3.72511725756087,2.52952788000171,3.57719320592666,3.84879627344255,2.49814921444573,2.43364504631331,2.38546506025551,3.12264111472874,3.86799074191365
RAB18,4.04939651203985,4.48275755148188,4.14266669404306,4.17833725821037,4.16520226015914,4.31226666122959,4.1240587141414,4.11694993147782,3.95206137088818,4.51223586500091,4.04323908598879,4.4566946362966,4.31321507843655,4.36354440518206,4.33591778860173,4.39751897329447,4.01627077570797,4.15024434580314,4.55627463264392,4.37627322793662,4.51595659011222,4.40217054090876,4.62912364542236,4.37926043582491,4.48815762905709,4.460281804887,4.23133311284701,4.43659335533295,4.38848647586399,4.21006600439968,4.32689445083486,4.17842864247728,4.14076687705233,4.20858210309083,3.91453545251152,4.4529437983946,4.05877400392608,3.85410877264395,4.43104279847098,4.50752585787136,4.47480564462206,4.06524267901215,4.15394278713318,4.52834409501016,4.17588402219802,4.04150858683666,4.46440124880459,4.45883085946855,4.245939349879,4.43693354306612,4.15554123108842
ZMYM2,2.86306101466316,3.11326298174647,2.60548713145701,3.23099680855406,2.68191658279609,2.85700182422048,2.89755671888837,3.18367006448906,2.32139956629524,3.02145517133913,3.23834222613222,3.54925517789394,2.97929610108823,2.89556452496886,3.03614523403047,3.08425624765248,3.22747637237118,2.7346894423779,2.93179337848144,3.49744606836063,3.40916490906447,2.96725163763171,3.20545853053102,3.61356245215774,2.99714951135142,3.0554574605723,2.93036975541442,3.10366041433209,2.77530309321864,2.75108886598132,3.31098458483166,3.3130518370237,3.16737051040874,2.96207749783254,2.43672543332257,2.846114958855,2.65389141245354,2.95997340879568,2.95808489192426,3.26440717343339,3.07655051756532,3.13513137871709,3.16870780318519,2.74852137516072,2.9222317317524,2.78398714434836,2.95606705123686,3.220607239737,3.68383957784889,2.97477550521189,3.45674852970927
MAPT,3.57609867653522,3.74192562383305,3.43749767910032,4.03743781335586,3.03508737121391,3.68077094953671,3.5754655428885,3.7492734913257,3.57382067071005,3.65224730825053,3.4102385429252,4.03624664384516,3.67453074929262,3.65515659409037,3.57910980346844,2.93876532229885,3.45037044741382,2.83277387922834,3.98573059826832,3.92555599127761,3.83501521008069,3.92071438913537,3.86108847757592,3.9403149793413,3.92398815950166,3.85954248957005,3.72517262163482,3.76847922546973,3.162705663665,3.44295143572896,3.55470534486329,3.74240404309997,3.37764386392176,3.45409295622836,3.53713904941079,3.6984039235754,3.35247677355157,3.43243274210416,3.85297201689226,3.89782033682182,4.04680612177238,3.54008347180018,3.28606219216339,3.59613980124305,3.83702810215206,3.42630772963577,3.82699252725715,3.94745979838006,4.01854634668934,3.9613195094882,3.62498197329086
FBXO30,3.68656754521257,3.81356370984186,3.79019343867326,3.73724799979183,3.73210501887878,3.69161046072316,3.80249801468131,3.67688611941035,3.74252694414196,3.66238304381412,3.73035980362371,3.95343135889705,3.77586206932044,3.87725002598454,3.73236705793398,3.82333994229437,3.87643170106024,3.82499634964987,4.21046433052336,4.13371118691783,3.97128860827102,3.93931898171734,3.96688010957861,3.91739348178802,3.79884185862556,3.79648427367558,3.7244825609701,3.91085749550695,3.74476294056579,3.78319148142623,3.77623781046997,3.81273559360242,3.70307142322236,3.80712408041652,3.95909383856472,3.87344232674245,3.83437021321832,3.81031546973054,3.79772293023868,4.03394511855813,3.81681928936951,3.64674622301309,3.94903510651895,3.85370587572882,3.85887704135613,3.88077839014352,3.89136604756832,3.86193864820585,3.92970837592169,3.65946266253069,4.05673586267122
SLC1A4,3.10627183105814,3.51740256766095,3.24498848388332,3.30012746316634,3.3451740856789,3.3853483011362,3.59810373499678,3.55638114920162,3.43272402954603,3.42956076073296,3.27958254038591,3.81572248902946,3.40974601533006,3.45841029464194,3.30696707469572,3.43172038257571,3.20719850803315,3.34360983921521,3.52479102714165,4.07096364511649,3.75254940379529,3.46965886727444,3.40635637536893,3.59412559272703,3.59145540753382,3.41504333055811,3.31332169073435,3.49296115144739,3.40381140935496,3.35171767083961,3.44826747628814,3.58079934267137,3.41791605712237,3.20666291759483,3.39690968325549,3.42313654907613,3.08612197152219,3.36284837954292,3.22311963170973,3.74362177317393,3.46273003134126,3.66780780859195,3.28900199099037,3.25614961746491,3.81476231588821,3.28670767708323,3.75888805851023,3.77343506538209,3.95134038493572,3.46362516611225,3.56966131510091
GTF2IRD2,3.86466910701768,3.48919941742801,3.68047321461278,3.5610462581587,3.7522282008436,3.85435451000501,3.55022199151187,3.6731243509461,3.69688752840585,3.69451920888735,3.64336610507177,3.6138464712325,3.71518643626213,3.68269351203201,3.60340368054881,3.71451509183586,3.76041162592544,3.98726529577751,3.31826853238061,3.49985623211286,3.51430038671384,3.33598875938424,3.27084460486385,3.66941033217137,3.49062318594785,3.26418669352646,3.64305778254454,3.42674574960132,3.8427487405456,3.60081558511279,3.85625217336075,3.57815514311912,3.67302413435828,3.72260899923761,3.94976958001046,3.63734760991004,3.82667326281526,3.76410145123857,3.43625188300212,3.47316101742852,3.31338184651989,3.39650568698198,3.90899530987574,3.60333526860749,3.85228140490562,3.68254280184731,3.45264175135262,3.37030782909312,3.62076173796506,3.2739057467025,3.87421037131415
