,GBM1,GBM3,GBM7,GBM8,GBM9,GBM10,GBM12,O1,GBM14,GBM16,OA1,GBM17,GBM18,GBM19,GBM20,GBM21,GBM22,GBM24,GBM25,GBM26,GBM27,GBM28,GBM29,OA2,A4,O3,O4,O7,O9,GBM30,GBM31,GBM32,GBM38,GBM40,GBM41,GBM42,GBM44,GBM45,GBM46,GBM47,GBM50,OA5,O10,GBM51,GBM52,GBM53,GBM55,GBM57,GBM59,A7,OA6
KIAA0776,3.02237887611655,3.33324085999927,3.17720885195606,2.90539916948881,3.01607390931105,3.0110491466305,3.24736286241161,3.25684253360499,3.25372220533872,3.13831375279422,3.57551448245916,3.27501888489175,3.4064723911421,3.16483952825009,3.10896024124043,3.08150500801045,2.65358777505457,3.31930826639755,3.08047387990842,3.18737292276256,3.32753731613899,3.05946571905214,3.26443197927886,3.60145590205874,3.40531988841154,3.38127829419998,3.22732895920799,3.28875434135927,3.51653762138045,3.23161152851684,2.82623682265492,3.20912960829211,3.30145799905213,3.23373986914018,3.20726911568851,2.79817051580979,3.46921962207458,2.9853802127447,3.24846420772511,3.18023773318028,3.19863124841283,3.60566526414266,3.1851002699196,3.32159553101706,3.17459819683097,3.33396710899568,3.20935708493588,2.94800439990542,3.34373168322916,3.41399809785076,3.67579382573717
SLC7A1,3.4031442093197,3.48956181136046,3.0160977639765,3.33314790112511,3.29696887085907,3.09723300796336,3.56794658916419,3.40474907224249,2.943530128572,3.411619537632,3.76525603987514,3.19953002055874,3.36347734653705,3.49895008109323,3.68569678455823,3.37974285596554,3.37098044015856,3.28429805635645,3.32372265751075,3.40549798667263,3.58427026052485,3.40288837766494,2.94724349257987,3.78518115269742,3.60660608660456,3.81132615355102,3.85509519367955,3.35529957668883,3.64331032301224,3.13054603835775,3.16661243780307,3.41716699893288,3.29467560702956,3.22525783546342,3.21974506500515,3.17298831326859,3.36319553441086,3.51528847591015,3.40662958480068,3.19738532764798,3.58950715483294,3.90996258882655,3.41318975123729,3.27503825067335,3.38486358514171,3.48441743891256,3.35598357360153,3.62073750588974,3.28139043331794,3.28732374305913,3.83927612578417
ANXA1,3.99265520947556,4.22084440368024,4.62508923622596,4.36171971652312,4.15481238185418,3.96847762491153,3.57882423271029,3.34205100263402,4.27853120810412,3.89997510343274,3.66098029483772,4.27888341274283,4.1891294776402,3.13684291318439,3.96428961952953,4.18119843883643,3.10864517816757,4.34142593753174,4.13494027836333,4.49676307664761,4.43846897925516,3.4934410413758,4.37865785468256,3.21993983174502,3.11119595259317,3.49199264342437,3.4077205371876,3.27065135712586,3.19463642668415,4.22441692445163,3.85449296078956,4.23794145818721,3.54104553262751,4.05272167587744,3.66661802523792,4.55719161624079,3.99174010012735,4.42906697504926,4.46101460568931,4.14083373601987,4.50037770737433,3.6425332698492,3.46898412400631,4.58728791107296,4.00904790287557,4.60157206978631,4.06213456212204,3.59508234264836,4.42131132111656,3.00703602720736,3.06830759561509
BC003660,3.61742341474941,3.72601798876526,3.74241276676307,3.88746712774648,2.84724064244448,3.25498674184943,3.30295140078259,3.13283164624786,3.91330760436554,3.71830932772182,2.99471474388325,3.61153999493006,3.54599933226663,2.89339220496355,3.99675764431867,3.26727829354111,3.06544115156626,3.71022952220492,3.59245912360501,3.69818669971001,3.66119941497006,3.32885360240793,3.97818079094015,2.8698861893789,2.39483852091096,2.76218247972136,2.75166317691667,3.60100489515387,3.34219501136741,3.54582449708318,3.68371382588411,3.50182360510973,3.30932477660338,2.69332235675295,3.39934173134742,3.49727860315283,3.25227909204108,3.95171355019238,3.75441745031888,3.35709974204575,3.83420630132379,3.61417570927653,3.17063276125072,3.71704465157544,2.87987999928172,3.72511725756087,3.57719320592666,3.28294640997262,3.84879627344255,2.49814921444573,2.38546506025551
RAB18,4.04939651203985,4.14266669404306,4.16520226015914,4.20991392646274,4.32698108714679,4.31226666122959,4.11694993147782,4.51223586500091,4.20170959465442,4.17964398278718,4.4566946362966,4.31321507843655,4.44117330762823,4.36354440518206,4.00284954825591,4.13172196539539,4.07576883283806,4.03790658609068,4.33873495043774,4.39751897329447,4.01627077570797,3.96261572906466,4.15024434580314,4.37627322793662,4.51629490517731,4.32690605107873,4.43005980980569,4.23133311284701,4.58830678521217,4.31095533902755,4.38848647586399,4.07799258546067,4.17842864247728,4.20858210309083,4.23101951588846,3.7337589157597,4.4529437983946,4.22718386403347,4.05877400392608,4.36108358291481,4.07474917097039,4.50752585787136,4.49674929543402,4.02913441295809,4.06524267901215,4.15394278713318,4.17588402219802,3.79910989852663,4.04150858683666,4.46440124880459,4.245939349879
ZMYM2,2.86306101466316,2.60548713145701,2.68191658279609,2.29958138175623,3.0264544061554,2.85700182422048,3.18367006448906,3.02145517133913,2.66196499305697,2.55958946231744,3.54925517789394,2.97929610108823,3.11513202506414,2.89556452496886,2.42299997727162,2.80617929539823,2.61631373926309,3.08902680782346,2.80215227396007,3.08425624765248,3.22747637237118,2.32338205959612,2.7346894423779,3.49744606836063,3.04879127384841,3.19351528760437,3.2147233410929,2.93036975541442,3.21706603087439,2.88802046695575,2.77530309321864,2.91543730007039,3.3130518370237,2.96207749783254,2.83726006829724,2.44153175364247,2.846114958855,2.7235591022599,2.65389141245354,2.9059895163479,2.74081333224499,3.26440717343339,2.92922983872378,2.76749203577054,3.13513137871709,3.16870780318519,2.9222317317524,2.2391793118688,2.78398714434836,2.95606705123686,3.68383957784889
MAPT,3.57609867653522,3.43749767910032,3.03508737121391,3.44657615241784,3.83845578177736,3.68077094953671,3.7492734913257,3.65224730825053,3.02798814231365,3.60306107973147,4.03624664384516,3.67453074929262,3.80937861985066,3.65515659409037,3.53614061194688,3.48320831847938,3.81806633698801,3.59948340277592,3.59656883807887,2.93876532229885,3.45037044741382,3.67146721125652,2.83277387922834,3.92555599127761,3.92952539145165,4.15270906974927,4.05323537606988,3.72517262163482,4.01995924990462,3.75705818030912,3.162705663665,3.51928012240202,3.74240404309997,3.45409295622836,3.74054102946032,2.99128988570391,3.6984039235754,3.237194754944,3.35247677355157,3.56543445218059,3.57363802428601,3.89782033682182,3.93459378356815,3.08131453642024,3.54008347180018,3.28606219216339,3.83702810215206,3.69579887578602,3.42630772963577,3.82699252725715,4.01854634668934
FBXO30,3.68656754521257,3.79019343867326,3.73210501887878,3.8735900482285,3.70598714380332,3.69161046072316,3.67688611941035,3.66238304381412,3.83977566649582,3.96853347320943,3.95343135889705,3.77586206932044,3.81536393515947,3.87725002598454,3.86940722139994,3.8881160586945,3.71166654544269,3.80568303332542,3.80589731917548,3.82333994229437,3.87643170106024,3.90880863532371,3.82499634964987,4.13371118691783,4.00753382034179,3.46288922153467,3.75856030449875,3.7244825609701,3.77941335640574,3.76328135698348,3.74476294056579,3.80529739213414,3.81273559360242,3.80712408041652,3.81375027037931,3.78887970585544,3.87344232674245,3.86305494273668,3.83437021321832,3.99187127686337,3.74738601360201,4.03394511855813,3.74260739248415,3.89156404972978,3.64674622301309,3.94903510651895,3.85887704135613,3.69372606978413,3.88077839014352,3.89136604756832,3.92970837592169
SLC1A4,3.10627183105814,3.24498848388332,3.3451740856789,3.2682837406819,3.21908288580373,3.3853483011362,3.55638114920162,3.42956076073296,3.48593738460934,3.2150977301718,3.81572248902946,3.40974601533006,3.23477029516092,3.45841029464194,3.09732395888796,3.39125188528271,3.16523749847555,3.48630661996174,3.47317182802378,3.43172038257571,3.20719850803315,3.48726072460205,3.34360983921521,4.07096364511649,3.85167745469355,3.26123264560433,3.2590558136515,3.31332169073435,3.58789620204406,3.40934820642321,3.40381140935496,3.34241537671723,3.58079934267137,3.20666291759483,3.2725055461029,3.62044900914617,3.42313654907613,3.23861182355965,3.08612197152219,3.47910304433928,3.52579179896025,3.74362177317393,3.23456688541103,3.30273905161223,3.66780780859195,3.28900199099037,3.81476231588821,3.47666181775563,3.28670767708323,3.75888805851023,3.95134038493572
GTF2IRD2,3.86466910701768,3.68047321461278,3.7522282008436,3.87059917682888,3.61205935799052,3.85435451000501,3.6731243509461,3.69451920888735,4.17693421671582,3.79621884329506,3.6138464712325,3.71518643626213,3.70054658139462,3.68269351203201,3.78970759785856,3.81207134592018,3.31456216769241,3.68968579455348,3.79846660092207,3.71451509183586,3.76041162592544,3.57747054416386,3.98726529577751,3.49985623211286,3.45222158615576,3.77547172828707,3.4494037218866,3.64305778254454,3.47524074757411,3.63284747571876,3.8427487405456,3.61567750683283,3.57815514311912,3.72260899923761,3.83946679705304,3.92652826843826,3.63734760991004,3.90823804421171,3.82667326281526,3.61975449978849,3.91469954493252,3.47316101742852,3.47835275857958,3.7873021726087,3.39650568698198,3.90899530987574,3.85228140490562,3.7376350635774,3.68254280184731,3.45264175135262,3.62076173796506
KIF3A,3.28413418433573,3.49108631988574,3.322429979849,3.28890509172187,3.32801039818506,3.23115088895465,3.63536812062459,3.54575763336694,3.232095858224,3.20233680523156,3.78049157114627,3.43753462992008,3.57480848013988,3.52030951807249,3.41717564097413,3.33623912828032,3.34099882447663,3.53649417738339,3.29141680670358,2.91694271531854,3.3458730291394,3.44596814206435,2.858149648462,3.7841195299344,3.4339659020111,3.8158187348104,3.859585816444,3.74619181833774,3.72681283726378,3.46712086025073,3.3287882188676,3.11316995397046,3.59148600224095,3.2544837861334,3.36452679425283,2.86929685901794,3.28710136935898,3.10894097892205,3.27506868087124,3.4217164340478,3.68254235081076,3.60020114720241,3.8165410917537,3.03503088476208,3.58300845913143,3.45178060396913,3.59084194619628,3.24107033851409,3.46307287605664,3.3463924895382,3.66494944494665
AI860012,3.63468469447904,3.352962582099,3.47550339332963,3.64507990645683,3.85500514847415,3.64577702750806,3.19984180816828,3.28573886465249,3.44794292934058,3.53827505366748,3.04399105833637,3.35152304817301,3.48274599086359,3.28894974844859,4.04939372128498,3.53315575665438,2.95183176964224,3.47552707741841,3.43133111042039,3.50278792614052,3.62066708999831,3.09900692785013,3.36119332501315,2.93607319275719,2.99497228015775,3.2570703768663,3.285209959577,3.09449209166661,2.94549221956256,3.00585417614517,3.58448127885244,3.37108708168736,3.20472485916461,3.66703199697655,3.73671911501825,3.42319260813964,3.13901845702981,3.46054380107987,3.46563368817121,3.52349036561657,3.25200447912369,2.90324142078777,2.72141817196977,3.59866249683029,3.4982014839248,3.26347794241304,3.40898204238125,3.4684753840881,3.52524946059673,3.18167755285908,3.03729977702792
PPM1L,3.01914247200463,3.12066439979943,3.00807529510422,3.23062847779654,3.31677524684687,3.11970941751974,3.29587198858571,3.28342200006234,2.84678602219758,3.22166274489275,3.5574978181562,2.97014456134087,3.30337211625811,3.31749399440546,3.4148393641613,3.26950196997139,3.49319920965103,2.88726837448045,3.25186540529976,3.04723825267367,2.84885083470076,3.64925714615501,2.80596616704771,3.44059646637475,3.88106575272538,3.54424619262865,3.32554583305662,3.21697433635663,3.60595406289485,3.19189849283773,3.03005256303909,3.12200080828875,3.0316709815574,3.12865253330393,3.04734419316709,2.6497864459084,3.47976528145249,3.31670403970004,3.1561149427161,3.34696153828567,3.15978789348264,3.51186785972996,3.68245484085808,2.14665817167109,3.32130880425794,3.20833276924413,3.42601585066744,3.31459352889669,3.0874981824993,3.51782549837057,3.23360547277962
CHI3L1,3.76878234888067,4.75718870240165,4.93064084260424,4.24983853697095,2.81651902703042,3.76997156303506,3.52889395704212,3.75938224938948,4.33385930606245,4.22059519259524,3.60193142113199,4.64146231101884,4.20783765470293,3.57718504285638,3.60517603182008,4.31002849246773,3.0691969241423,4.53612582641493,4.84794498104588,4.35619812505361,4.81932113797545,3.54742048178556,4.95275094826686,2.06946829029136,1.85405085679899,3.22060044529467,2.71380208171924,3.76311181694572,2.58301503874755,4.05800401476794,4.28831762939275,3.84137805585849,3.14654630794733,3.59069429666724,4.23288056253113,5.07914411228193,3.59086924193181,4.80820923033945,4.67763140390636,4.06113852000959,4.65314144773297,2.87295999353854,4.41004028114533,4.85659109026013,4.09872825794189,4.8118414388555,3.8820433030971,4.20759002023879,4.93728097141955,2.32256452499854,2.03790833726559
GLA,3.54569298453377,3.3803726245056,3.67193547536834,3.55437733143537,3.50852312033833,3.56152425689088,3.47999644498352,3.38379436859087,3.6596256863081,3.61710921579931,3.31037846747763,3.43019409916359,3.34927072638255,3.38878249502686,3.63441247383024,3.5089734825332,3.2287549390767,3.61756979554734,3.49565477028039,3.7195174798326,3.61522397346384,3.49905263193428,3.88853386394361,3.20556242802091,3.31995091355365,3.53711168924808,3.52536010702444,3.3964699555558,3.28768396195504,3.39756009545479,3.56381676256976,3.62974334745608,3.52816399938474,3.49722484031425,3.46552040582521,3.73346931634778,3.42634060052975,3.5018234683492,3.55488269352426,3.39574213802282,3.50174140426549,3.3103708165839,3.19291993062017,3.52440754733903,3.35391930692174,3.52884692487878,3.30694479743875,3.62149845446757,3.55278851240318,3.48455407637405,3.34593295340857
HPSE2,1.87215627274829,1.52079784032238,1.81347423640594,1.69750831786608,1.71270861354943,1.71729594973894,1.65712280939965,2.69839461745175,2.05849435212957,1.91006917756622,2.51844418395024,1.8998970715301,2.08895427282076,2.51575466119086,1.55715818247533,1.58489634413745,1.75526489141225,1.64345267648619,1.68672562107454,2.08275306621969,2.12363933990189,2.27854783377585,1.89168795727955,2.84280699824332,3.4636208354002,1.76299348178892,2.25275839785024,1.9603565996837,2.45382115760696,2.66427614932961,1.73858238623274,1.84573040850265,1.96337694151645,2.27530213864601,2.59839650942375,1.63304405366955,1.90732535335141,2.20749433667567,1.68661839669364,1.63854915551096,1.79166960031222,3.18021220914438,1.83427443054362,1.65024922465787,2.11578020279871,1.64951009915197,1.75146387083655,1.84914904737707,2.01149854858933,2.00395142095419,2.83288109683384
AF274957,3.99865002767361,3.97255758335015,4.04417225766271,4.00097463496581,4.11153530742455,4.17586530925205,4.04001453746709,4.12562412020795,4.19013179265048,3.929607675058,4.15775547328822,4.17486899951902,4.17896055308608,4.237642498748,3.7811927246076,4.03941737141487,3.99246037531499,4.00391505392855,4.03769456215346,4.13137360694772,3.97802882988532,4.03350332863921,4.1734349109681,4.29892172879426,4.25133797905712,4.29591813187457,4.30605558074144,3.99237552223898,4.25485748325159,4.23858589932233,4.14592526588959,3.92466858061823,4.04811491086124,4.16968618747167,4.11534982348162,3.81897516390618,4.29296388172948,4.1933888529496,3.90374993864165,4.14711137411743,3.98670434623469,4.16830327452696,4.43623243080726,4.00842803782059,3.90489171519906,4.01110401382224,3.99968902069708,3.90417826716974,3.9069302529989,4.32166080533636,4.13591164613167
SRP19,3.73903377026741,3.74763658838755,3.89284328201378,3.76704241503112,3.83715500064572,3.72725708343519,3.69233744772225,3.64554792145129,3.85385876156883,3.82384081197517,3.69750465747816,3.68879166091704,3.69646595343879,3.6810578902164,3.79297934047678,3.82511161106442,3.82746148621363,3.79358848160067,3.67969012039608,3.87067984627319,3.7852599862979,3.88193696085378,3.90071202361415,3.54871707319397,3.60228337837751,3.84889487238568,3.63654636670884,3.58854228606383,3.64448250909256,3.69339890635403,3.69937752873359,3.71776949754899,3.79068823027022,3.77931006546494,3.83249102962409,3.76090423775998,3.67559762291472,3.723800097604,3.74987940825304,3.74868655899468,3.86517779250432,3.7330214245384,3.66610220670469,3.85545052323694,3.65593921921906,3.80798390521439,3.76450400931204,3.79780090360959,3.79269572928004,3.59995584849308,3.60580522043197
