,AA3,AOA3,AOA4,GBM1,GBM15,GBM16,GBM21,GBM22,GBM25,GBM27,GBM28,GBM29,GBM31,GBM4,GBM5,GBM6,GNN1,GS1,JPA3,LGG1,O1,O2,O3,O5,sGBM1,sGBM3
EXT1,0.0674542027258132,0.181002875292185,0.161967477062096,0.0325515478585565,-0.0870944698405585,0.183038273522273,-0.144086331408194,0.181932078832008,-0.0451918149733018,-0.0797581866547178,0.00156924697360079,-0.235802434442328,-0.388147567185691,-0.0848201335573726,-0.278333407893656,0.510843583256787,0.466994025734663,0.292994025734663,0.0333480080355477,0.286135618655017,0.714463052283335,0.273365707150592,0.566002875292185,0.0541621673275831,0.244542698301034,-0.260220259979623
DIP2C,-0.461545797274187,-0.00199712470781513,0.253967477062096,0.255551547858557,-0.170094469840558,-0.154961726477727,0.105913668591806,0.229932078832008,0.403808185026698,-0.681758186654718,0.277569246973601,-0.529802434442328,-0.347147567185691,-0.155820133557373,-0.213333407893656,0.0358435832567866,0.107994025734663,0.0729940257346628,0.822348008035548,0.416135618655017,0.589463052283335,0.245365707150592,0.478002875292185,0.865162167327583,-0.0904573016989656,0.122779740020377
SVIL,0.117454202725813,0.164002875292185,-0.181032522937904,0.0655515478585565,0.191905530159442,-0.106961726477727,-0.626086331408194,-0.485067921167992,-0.445191814973302,-0.587758186654718,-0.391430753026399,-0.141802434442328,-0.864147567185691,0.0541798664426274,-0.200333407893656,-0.371156416743213,0.357994025734663,-0.561005974265337,0.494348008035548,0.242135618655017,-0.174536947716665,-0.078634292849408,0.00600287529218489,0.00116216732758311,0.259542698301034,-0.147220259979623
MGC39606,-0.250545797274187,-0.306997124707815,0.158967477062096,0.284551547858557,0.348905530159442,-0.133961726477727,0.0179136685918056,0.440932078832008,0.741808185026698,0.277241813345282,0.431569246973601,0.0661975655576716,0.270852432814309,0.304179866442627,-0.0533334078936558,0.382843583256787,-0.444005974265337,0.255994025734663,0.0553480080355477,0.425135618655017,0.365463052283335,0.409365707150592,0.199002875292185,0.414162167327583,0.110542698301034,0.169779740020377
ADARB2,-0.205545797274187,0.154002875292185,-0.460032522937904,0.191551547858557,-0.968094469840558,-0.663961726477727,0.0449136685918056,-0.316067921167992,-0.669191814973302,-0.751758186654718,-0.7594307530264,-1.26980243444233,-1.00314756718569,-0.886820133557373,-0.528333407893656,-0.130156416743213,0.192994025734663,-0.348005974265337,-0.262651991964452,-0.291864381344983,-0.0655369477166647,-0.081634292849408,-0.483997124707815,0.490162167327583,-0.185457301698966,-0.432220259979623
PARD3,0.0284542027258132,0.326002875292185,-0.181032522937904,0.330551547858557,-0.431094469840558,-0.489961726477727,-0.133086331408194,-0.279067921167992,-0.119191814973302,-0.666758186654718,-0.343430753026399,-0.491802434442328,-0.552147567185691,-0.261820133557373,-0.153333407893656,0.238843583256787,0.702994025734663,-0.00100597426533724,-0.0236519919644523,-0.00186438134498326,0.326463052283335,0.191365707150592,-0.135997124707815,0.258162167327583,0.497542698301034,0.151779740020377
SPAG6,0.226454202725813,0.0250028752921849,-0.425032522937904,0.362551547858557,-0.798094469840559,-0.881961726477727,-0.150086331408194,-1.09506792116799,-0.494191814973302,-1.04775818665472,-0.484430753026399,-0.911802434442328,-1.17714756718569,-0.560820133557373,-0.790333407893656,-0.336156416743213,0.438994025734663,-0.456005974265337,-0.357651991964452,-0.354864381344983,-0.251536947716665,-0.222634292849408,-0.0739971247078151,0.630162167327583,0.0265426983010344,0.031779740020377
AKR1C1,-0.302545797274187,0.329002875292185,0.484967477062096,0.513551547858557,-0.0120944698405585,-0.662961726477727,0.0639136685918056,0.216932078832008,-0.125191814973302,-0.0997581866547178,-0.357430753026399,-0.649802434442328,0.0458524328143088,0.0231798664426273,-0.303333407893656,0.917843583256787,0.214994025734663,0.256994025734663,-0.124651991964452,0.496135618655017,0.656463052283335,0.493365707150592,0.274002875292185,0.513162167327583,0.157542698301034,0.497779740020377
CCDC3,0.213454202725813,0.391002875292185,0.0139674770620964,0.620551547858557,-0.393094469840559,-0.428961726477727,0.326913668591806,0.366932078832008,-0.269191814973302,-0.698758186654718,-0.195430753026399,-0.498802434442328,-0.550147567185691,-0.510820133557373,-0.308333407893656,-0.416156416743213,0.770994025734663,-0.105005974265337,-0.224651991964452,0.105135618655017,0.179463052283335,0.272365707150592,0.184002875292185,0.413162167327583,0.485542698301034,0.165779740020377
AKR1C2,-0.381545797274187,0.0570028752921849,-0.633032522937904,0.449551547858557,-0.274094469840559,-0.937961726477727,-0.144086331408194,-0.862067921167992,-0.575191814973302,-1.01875818665472,-0.5994307530264,-0.712802434442328,-0.465147567185691,-0.723820133557373,-0.805333407893656,-0.415156416743213,-1.40000597426534,-0.663005974265337,-1.19365199196445,-0.188864381344983,0.233463052283335,0.054365707150592,-0.0869971247078151,0.300162167327583,-0.414457301698966,0.252779740020377
