,GBM2,GBM4,GBM5,GBM6,GBM11,GBM13,O2,GBM15,GBM23,A1,OA3,A2,A3,OA4,O5,O6,O8,GBM33,GBM34,GBM35,GBM36,GBM37,GBM39,GBM43,GBM48,GBM49,A5,A6,GBM54,GBM56,GBM58,A8,O11,OA7
KIAA0776,3.17844050690931,3.21537897154992,3.57624307564114,2.89320286549593,3.0180956429077,3.05759726544112,3.05776268756371,2.95843486569904,3.12120418769606,3.53610965021364,3.59123561856393,3.37112367014694,3.43416379941706,3.50928628065071,3.04854589744408,3.34188125202346,3.2290290144615,3.09675954733737,3.06026710881715,3.10568284636645,2.95581662479061,3.17784083226332,3.14233314185656,3.06698376512957,3.08022302612424,3.27328561289443,3.16287911116855,3.38814260328535,3.18467099294932,3.0750338990023,3.00710439224918,3.210145088514,3.48609240526735,3.49583769941034
SLC7A1,3.51622828459301,3.46236534970732,3.64052873969709,3.12848553740098,3.35719210200872,3.38493572739462,3.31498503756894,3.35345670080846,3.19255128546182,3.65570533779537,3.72954495502489,3.33505390924712,3.53201749131624,3.78951584515746,3.50131784389124,3.32758287040787,3.557086056946,3.30889059878259,3.21849401682126,3.35847965899355,3.42089795385672,3.41018669754468,3.36951456411293,3.22973686140971,3.41876981132991,3.48525764763728,3.63837892215807,3.41522683514216,3.11742509486209,3.4886052818921,3.38025792585918,3.50599670519301,3.38311310783625,3.8134145104688
ANXA1,3.57955530344548,4.61815208470885,3.44897763055429,4.56312157574932,3.8131265762914,3.53266445416881,3.45989359755697,3.0477003843005,4.23264650233969,2.95376548872878,3.00894619212975,3.16550162058169,2.90008734197997,3.50021108075859,2.99286311287958,3.40536138858828,2.89989980589126,3.40435744144914,3.06403509506091,4.38400142668793,3.29759288702997,4.25033789337158,4.286068148305,4.1889928782525,4.44379044046643,3.07336233953702,3.40525207917826,3.09102858566422,3.98963524317912,4.4472515031699,4.38814059548209,3.51763590965257,3.16723164915323,4.45753067230184
BC003660,3.02144111684934,3.76350765683004,3.37366033183851,3.81634465640921,3.3989878253784,3.40324649979945,3.55226353767109,3.34743150149457,3.67065832969046,2.45701092176502,2.41086324046641,2.47182984399089,2.5956560216101,2.05165794003581,2.73340272368465,3.38067424226921,2.85535073547549,3.16660474385823,2.876217263072,3.68286237878025,3.23162350321716,2.7393634531585,3.61439221331708,3.79853138796454,3.44003725832,3.54100717106089,2.46159755984397,2.9702887494172,2.52952788000171,3.44881387561026,3.50351599684394,2.43364504631331,3.12264111472874,3.86799074191365
RAB18,4.48275755148188,4.17189262357908,4.17833725821037,4.26034404885509,4.1240587141414,3.95206137088818,4.3477364028312,4.04323908598879,4.33591778860173,4.55627463264392,4.51595659011222,4.40217054090876,4.62912364542236,4.37926043582491,4.48815762905709,4.460281804887,4.43659335533295,4.01964032760063,4.21006600439968,4.34668862086239,4.12418471177786,4.32689445083486,4.14076687705233,3.91453545251152,3.85410877264395,4.43104279847098,4.50446539809755,4.47480564462206,4.52834409501016,3.9922912714823,4.22985580677435,4.45883085946855,4.43693354306612,4.15554123108842
ZMYM2,3.11326298174647,3.03041916688161,3.23099680855406,2.70469176010324,2.89755671888837,2.32139956629524,3.04860841946803,3.23834222613222,3.03614523403047,2.93179337848144,3.40916490906447,2.96725163763171,3.20545853053102,3.61356245215774,2.99714951135142,3.0554574605723,3.10366041433209,3.02043876912037,2.75108886598132,2.71628554334306,2.9753835508858,3.31098458483166,3.16737051040874,2.43672543332257,2.95997340879568,2.95808489192426,3.08962679134056,3.07655051756532,2.74852137516072,2.82459308387959,2.72948957882549,3.220607239737,2.97477550521189,3.45674852970927
MAPT,3.74192562383305,2.99458723767914,4.03743781335586,3.10577442790881,3.5754655428885,3.57382067071005,3.56363294325055,3.4102385429252,3.57910980346844,3.98573059826832,3.83501521008069,3.92071438913537,3.86108847757592,3.9403149793413,3.92398815950166,3.85954248957005,3.76847922546973,3.44636938143325,3.44295143572896,3.68454672640103,3.66833297799888,3.55470534486329,3.37764386392176,3.53713904941079,3.43243274210416,3.85297201689226,4.09147392619211,4.04680612177238,3.59613980124305,3.26897020410749,3.52171941360234,3.94745979838006,3.9613195094882,3.62498197329086
FBXO30,3.81356370984186,3.9137204160569,3.73724799979183,3.8006922018417,3.80249801468131,3.74252694414196,3.60287970809653,3.73035980362371,3.73236705793398,4.21046433052336,3.97128860827102,3.93931898171734,3.96688010957861,3.91739348178802,3.79884185862556,3.79648427367558,3.91085749550695,3.87896976088947,3.78319148142623,3.76981354333896,3.80118238985729,3.77623781046997,3.70307142322236,3.95909383856472,3.81031546973054,3.79772293023868,3.76865445172015,3.81681928936951,3.85370587572882,3.71015486689524,3.93960066272346,3.86193864820585,3.65946266253069,4.05673586267122
SLC1A4,3.51740256766095,3.35829070835118,3.30012746316634,3.22065532044498,3.59810373499678,3.43272402954603,3.34811747227101,3.27958254038591,3.30696707469572,3.52479102714165,3.75254940379529,3.46965886727444,3.40635637536893,3.59412559272703,3.59145540753382,3.41504333055811,3.49296115144739,3.64939746660988,3.35171767083961,3.04281798816574,3.62695615648473,3.44826747628814,3.41791605712237,3.39690968325549,3.36284837954292,3.22311963170973,3.54041307156133,3.46273003134126,3.25614961746491,3.14630792041862,3.14004396112158,3.77343506538209,3.46362516611225,3.56966131510091
GTF2IRD2,3.48919941742801,3.74339992293844,3.5610462581587,3.92680818860733,3.55022199151187,3.69688752840585,3.7545649701505,3.64336610507177,3.60340368054881,3.31826853238061,3.51430038671384,3.33598875938424,3.27084460486385,3.66941033217137,3.49062318594785,3.26418669352646,3.42674574960132,3.29730256492683,3.60081558511279,3.82714360103285,3.477998511554,3.85625217336075,3.67302413435828,3.94976958001046,3.76410145123857,3.43625188300212,2.59590497167731,3.31338184651989,3.60333526860749,3.88837008096487,3.64754364890838,3.37030782909312,3.2739057467025,3.87421037131415
KIF3A,3.46268872811148,3.21212791811625,3.7278271954041,3.03455225792666,3.58408086740528,3.37449649214577,3.39020855705745,3.60800446015889,3.51128442355946,3.56546693594192,3.86575279849953,3.81061145272146,3.76446606357551,3.79211904912625,3.54072053917374,3.69276939123313,3.45602408145216,3.28226016329826,3.14901608643841,3.34060927398122,3.50848460386792,3.49363173405365,3.36920861910846,3.18277717407453,3.37569488203794,3.61386010201333,3.59734135503311,3.64455783173988,3.19633400623281,3.37303362519819,3.24249123804972,3.36273799996313,3.81311415470999,3.62378541643297
AI860012,3.51231503553118,3.63723498212675,2.9654876859827,3.38582229477306,3.40193962738169,3.65248943917295,3.40887584277453,3.47603024061432,3.14736432384588,2.72151219277783,2.96397330700559,3.12175872718001,3.08144272687141,3.04930099601059,2.83325168712601,2.89401571955745,3.32626661411842,3.47979607199974,3.23925316860069,3.64322846344432,3.28542317455941,3.5803587700494,3.36252884225961,3.39646629509736,3.28523878461635,3.04684971290941,2.86457218650208,2.81615310605104,3.1989274747729,3.95938578011905,3.17745684792367,3.07567905441339,3.00439747614743,3.62495879953416
PPM1L,3.23494655714737,2.67827066039857,3.54091031489574,3.16484101389167,3.19846436038007,3.48128436167834,3.38621332524443,3.23034442266419,3.28504958536703,3.82129763760124,3.5109450738238,3.70972725615683,3.57493343094194,3.43359432109911,3.43549828901533,3.64387354073649,3.37708048314101,3.33813503659251,3.10867087856712,3.09213089490095,3.27541248614925,2.85914370341626,2.97060858300767,3.44100206777627,3.11914301084643,3.41830526957159,3.89571937823387,3.64590247887863,3.05544905139061,2.92193345898765,3.26077737756009,3.5475827367934,3.74475449848805,2.94837530572788
CHI3L1,3.77710232163629,4.689159894551,3.44596316505294,4.96492861663969,3.96814130931589,3.6818514446248,4.096637642348,3.41351048830298,4.46971806730034,1.64873071093633,2.17186096175182,3.14283604660611,3.09893431173923,2.73557814248058,2.37834520093081,3.95258633424262,3.74793063126465,3.10681043858124,2.76495283204222,4.96837987310557,3.06767219974978,3.4930924763596,4.31993523837204,4.50338209072786,4.9952379625467,2.11258489484312,2.519560249404,2.76620234175745,3.08293429701849,4.57159843945023,4.8523296724557,2.59110914776618,3.28551162692661,4.93507865462751
